model,c0,MSE,RMSE,MAE,R2,m,c,DG_min,DG_range,K_half,n,b,C_scale,g1_fixed,g2_fixed,d_fixed,ct_fixed
constant,-1.9885162133333336,0.1558379855031545,0.39476320180983754,0.3140620106666666,0.0,,,,,,,,,,,,
linear,,0.039293233589006805,0.1982252092671535,0.1462979855857095,0.7478584347574782,0.041248512869678094,-2.3018932375040504,,,,,,,,,,
hill_saturation,,0.025384268614571253,0.15932441311541445,0.12144427763341897,0.837111160461854,,,-2.5939598323422945,3.003451403396974,34.48060068893828,0.7687234997931738,,,,,,
bnn_shared_resource,,0.025683980853890186,0.16026222528684103,0.1193573052951027,0.8351879307797502,,,-2.4769055326295377,1.677620858616955,,,5.884297599825138e-13,60.60420465027414,100.0,10.0,1.0,0.2
